notch,srg,mcp
aqv/q,net/minecraft/world/gen/ChunkProviderHell/field_73185_q,net/minecraft/world/gen/ChunkProviderHell/slowsandNoise
jj/c,net/minecraft/network/play/client/C0BPacketEntityAction/field_149516_c,net/minecraft/network/play/client/C0BPacketEntityAction/field_149516_c
aqv/r,net/minecraft/world/gen/ChunkProviderHell/field_73184_r,net/minecraft/world/gen/ChunkProviderHell/gravelNoise
aqv/s,net/minecraft/world/gen/ChunkProviderHell/field_73183_s,net/minecraft/world/gen/ChunkProviderHell/netherrackExclusivityNoise
aqv/t,net/minecraft/world/gen/ChunkProviderHell/field_73182_t,net/minecraft/world/gen/ChunkProviderHell/netherCaveGenerator
aqv/m,net/minecraft/world/gen/ChunkProviderHell/field_73177_m,net/minecraft/world/gen/ChunkProviderHell/slowsandGravelNoiseGen
bth/k,net/minecraft/client/audio/MusicTicker$MusicType/$VALUES,net/minecraft/client/audio/MusicTicker$MusicType/$VALUES
aqv/n,net/minecraft/world/gen/ChunkProviderHell/field_73174_n,net/minecraft/world/gen/ChunkProviderHell/netherrackExculsivityNoiseGen
bth/j,net/minecraft/client/audio/MusicTicker$MusicType/field_148643_j,net/minecraft/client/audio/MusicTicker$MusicType/field_148643_j
aqv/o,net/minecraft/world/gen/ChunkProviderHell/field_73175_o,net/minecraft/world/gen/ChunkProviderHell/worldObj
aqv/p,net/minecraft/world/gen/ChunkProviderHell/field_73186_p,net/minecraft/world/gen/ChunkProviderHell/noiseField
bth/i,net/minecraft/client/audio/MusicTicker$MusicType/field_148646_i,net/minecraft/client/audio/MusicTicker$MusicType/field_148646_i
aqv/i,net/minecraft/world/gen/ChunkProviderHell/field_73181_i,net/minecraft/world/gen/ChunkProviderHell/hellRNG
aqv/j,net/minecraft/world/gen/ChunkProviderHell/field_73178_j,net/minecraft/world/gen/ChunkProviderHell/netherNoiseGen1
aqv/k,net/minecraft/world/gen/ChunkProviderHell/field_73179_k,net/minecraft/world/gen/ChunkProviderHell/netherNoiseGen2
aqv/l,net/minecraft/world/gen/ChunkProviderHell/field_73176_l,net/minecraft/world/gen/ChunkProviderHell/netherNoiseGen3
bth/d,net/minecraft/client/audio/MusicTicker$MusicType/CREDITS,net/minecraft/client/audio/MusicTicker$MusicType/CREDITS
bth/c,net/minecraft/client/audio/MusicTicker$MusicType/CREATIVE,net/minecraft/client/audio/MusicTicker$MusicType/CREATIVE
bth/b,net/minecraft/client/audio/MusicTicker$MusicType/GAME,net/minecraft/client/audio/MusicTicker$MusicType/GAME
bth/a,net/minecraft/client/audio/MusicTicker$MusicType/MENU,net/minecraft/client/audio/MusicTicker$MusicType/MENU
bth/h,net/minecraft/client/audio/MusicTicker$MusicType/field_148645_h,net/minecraft/client/audio/MusicTicker$MusicType/field_148645_h
afe/a,net/minecraft/item/crafting/CraftingManager/field_77598_a,net/minecraft/item/crafting/CraftingManager/instance
afe/b,net/minecraft/item/crafting/CraftingManager/field_77597_b,net/minecraft/item/crafting/CraftingManager/recipes
bth/g,net/minecraft/client/audio/MusicTicker$MusicType/END,net/minecraft/client/audio/MusicTicker$MusicType/END
bth/f,net/minecraft/client/audio/MusicTicker$MusicType/END_BOSS,net/minecraft/client/audio/MusicTicker$MusicType/END_BOSS
bth/e,net/minecraft/client/audio/MusicTicker$MusicType/NETHER,net/minecraft/client/audio/MusicTicker$MusicType/NETHER
bkn/a,net/minecraft/client/particle/EffectRenderer/field_78878_a,net/minecraft/client/particle/EffectRenderer/worldObj
ade/bJ,net/minecraft/init/Items/field_151148_bJ,net/minecraft/init/Items/map
ade/ai,net/minecraft/init/Items/field_151149_ai,net/minecraft/init/Items/golden_leggings
ig/b,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149362_b,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149362_b
ig/a,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149364_a,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149364_a
ade/bI,net/minecraft/init/Items/field_151170_bI,net/minecraft/init/Items/poisonous_potato
ade/ah,net/minecraft/init/Items/field_151171_ah,net/minecraft/init/Items/golden_chestplate
ade/bL,net/minecraft/init/Items/field_151144_bL,net/minecraft/init/Items/skull
ade/ak,net/minecraft/init/Items/field_151145_ak,net/minecraft/init/Items/flint
ade/bK,net/minecraft/init/Items/field_151150_bK,net/minecraft/init/Items/golden_carrot
ade/aj,net/minecraft/init/Items/field_151151_aj,net/minecraft/init/Items/golden_boots
ig/c,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149363_c,net/minecraft/network/play/server/S05PacketSpawnPosition/field_149363_c
ade/bF,net/minecraft/init/Items/field_151172_bF,net/minecraft/init/Items/carrot
ade/ae,net/minecraft/init/Items/field_151173_ae,net/minecraft/init/Items/diamond_leggings
ade/bE,net/minecraft/init/Items/field_151162_bE,net/minecraft/init/Items/flower_pot
ade/ad,net/minecraft/init/Items/field_151163_ad,net/minecraft/init/Items/diamond_chestplate
ade/bH,net/minecraft/init/Items/field_151168_bH,net/minecraft/init/Items/baked_potato
ade/ag,net/minecraft/init/Items/field_151169_ag,net/minecraft/init/Items/golden_helmet
ade/bG,net/minecraft/init/Items/field_151174_bG,net/minecraft/init/Items/potato
ade/af,net/minecraft/init/Items/field_151175_af,net/minecraft/init/Items/diamond_boots
ade/bR,net/minecraft/init/Items/field_151134_bR,net/minecraft/init/Items/enchanted_book
ade/aq,net/minecraft/init/Items/field_151135_aq,net/minecraft/init/Items/wooden_door
ade/bQ,net/minecraft/init/Items/field_151154_bQ,net/minecraft/init/Items/firework_charge
ade/ap,net/minecraft/init/Items/field_151155_ap,net/minecraft/init/Items/sign
ade/bT,net/minecraft/init/Items/field_151130_bT,net/minecraft/init/Items/netherbrick
ade/as,net/minecraft/init/Items/field_151131_as,net/minecraft/init/Items/water_bucket
ade/bS,net/minecraft/init/Items/field_151132_bS,net/minecraft/init/Items/comparator
ade/ar,net/minecraft/init/Items/field_151133_ar,net/minecraft/init/Items/bucket
bkn/e,net/minecraft/client/particle/EffectRenderer/field_78875_d,net/minecraft/client/particle/EffectRenderer/rand
ade/bN,net/minecraft/init/Items/field_151156_bN,net/minecraft/init/Items/nether_star
ade/am,net/minecraft/init/Items/field_151157_am,net/minecraft/init/Items/cooked_porkchop
bkn/d,net/minecraft/client/particle/EffectRenderer/field_78877_c,net/minecraft/client/particle/EffectRenderer/renderer
ade/bM,net/minecraft/init/Items/field_151146_bM,net/minecraft/init/Items/carrot_on_a_stick
ade/al,net/minecraft/init/Items/field_151147_al,net/minecraft/init/Items/porkchop
ade/bP,net/minecraft/init/Items/field_151152_bP,net/minecraft/init/Items/fireworks
ade/ao,net/minecraft/init/Items/field_151153_ao,net/minecraft/init/Items/golden_apple
bkn/c,net/minecraft/client/particle/EffectRenderer/field_78876_b,net/minecraft/client/particle/EffectRenderer/fxLayers
bkn/b,net/minecraft/client/particle/EffectRenderer/field_110737_b,net/minecraft/client/particle/EffectRenderer/particleTextures
ade/bO,net/minecraft/init/Items/field_151158_bO,net/minecraft/init/Items/pumpkin_pie
ade/an,net/minecraft/init/Items/field_151159_an,net/minecraft/init/Items/painting
ade/aY,net/minecraft/init/Items/field_151098_aY,net/minecraft/init/Items/filled_map
ade/aX,net/minecraft/init/Items/field_151106_aX,net/minecraft/init/Items/cookie
ade/aZ,net/minecraft/init/Items/field_151097_aZ,net/minecraft/init/Items/shears
ade/aU,net/minecraft/init/Items/field_151105_aU,net/minecraft/init/Items/cake
ade/aT,net/minecraft/init/Items/field_151102_aT,net/minecraft/init/Items/sugar
ade/aW,net/minecraft/init/Items/field_151107_aW,net/minecraft/init/Items/repeater
ade/aV,net/minecraft/init/Items/field_151104_aV,net/minecraft/init/Items/bed
ade/bB,net/minecraft/init/Items/field_151164_bB,net/minecraft/init/Items/written_book
ade/aa,net/minecraft/init/Items/field_151165_aa,net/minecraft/init/Items/iron_leggings
ade/bA,net/minecraft/init/Items/field_151099_bA,net/minecraft/init/Items/writable_book
ade/bD,net/minecraft/init/Items/field_151160_bD,net/minecraft/init/Items/item_frame
ade/ac,net/minecraft/init/Items/field_151161_ac,net/minecraft/init/Items/diamond_helmet
ade/bC,net/minecraft/init/Items/field_151166_bC,net/minecraft/init/Items/emerald
ade/ab,net/minecraft/init/Items/field_151167_ab,net/minecraft/init/Items/iron_boots
ade/aI,net/minecraft/init/Items/field_151108_aI,net/minecraft/init/Items/chest_minecart
ade/aH,net/minecraft/init/Items/field_151123_aH,net/minecraft/init/Items/slime_ball
ade/aK,net/minecraft/init/Items/field_151110_aK,net/minecraft/init/Items/egg
ade/aJ,net/minecraft/init/Items/field_151109_aJ,net/minecraft/init/Items/furnace_minecart
ade/aE,net/minecraft/init/Items/field_151120_aE,net/minecraft/init/Items/reeds
ade/aD,net/minecraft/init/Items/field_151119_aD,net/minecraft/init/Items/clay_ball
ade/aG,net/minecraft/init/Items/field_151122_aG,net/minecraft/init/Items/book
ade/aF,net/minecraft/init/Items/field_151121_aF,net/minecraft/init/Items/paper
ade/aQ,net/minecraft/init/Items/field_151101_aQ,net/minecraft/init/Items/cooked_fished
ade/aP,net/minecraft/init/Items/field_151115_aP,net/minecraft/init/Items/fish
ade/aS,net/minecraft/init/Items/field_151103_aS,net/minecraft/init/Items/bone
ade/aR,net/minecraft/init/Items/field_151100_aR,net/minecraft/init/Items/dye
ade/aM,net/minecraft/init/Items/field_151112_aM,net/minecraft/init/Items/fishing_rod
ade/aL,net/minecraft/init/Items/field_151111_aL,net/minecraft/init/Items/compass
ade/aO,net/minecraft/init/Items/field_151114_aO,net/minecraft/init/Items/glowstone_dust
ade/aN,net/minecraft/init/Items/field_151113_aN,net/minecraft/init/Items/clock
tx/d,net/minecraft/entity/ai/EntityAIAvoidEntity$1/field_98219_c,net/minecraft/entity/ai/EntityAIAvoidEntity$1/entityAvoiderAI
ahk/b,net/minecraft/world/WorldSettings$GameType/SURVIVAL,net/minecraft/world/WorldSettings$GameType/SURVIVAL
ix/a,net/minecraft/network/play/client/C0EPacketClickWindow/field_149554_a,net/minecraft/network/play/client/C0EPacketClickWindow/field_149554_a
ahk/a,net/minecraft/world/WorldSettings$GameType/NOT_SET,net/minecraft/world/WorldSettings$GameType/NOT_SET
ix/c,net/minecraft/network/play/client/C0EPacketClickWindow/field_149553_c,net/minecraft/network/play/client/C0EPacketClickWindow/field_149553_c
ix/b,net/minecraft/network/play/client/C0EPacketClickWindow/field_149552_b,net/minecraft/network/play/client/C0EPacketClickWindow/field_149552_b
ix/e,net/minecraft/network/play/client/C0EPacketClickWindow/field_149551_e,net/minecraft/network/play/client/C0EPacketClickWindow/field_149551_e
ix/d,net/minecraft/network/play/client/C0EPacketClickWindow/field_149550_d,net/minecraft/network/play/client/C0EPacketClickWindow/field_149550_d
ix/f,net/minecraft/network/play/client/C0EPacketClickWindow/field_149549_f,net/minecraft/network/play/client/C0EPacketClickWindow/field_149549_f
ade/aA,net/minecraft/init/Items/field_151116_aA,net/minecraft/init/Items/leather
ade/aC,net/minecraft/init/Items/field_151118_aC,net/minecraft/init/Items/brick
ade/aB,net/minecraft/init/Items/field_151117_aB,net/minecraft/init/Items/milk_bucket
ahk/g,net/minecraft/world/WorldSettings$GameType/$VALUES,net/minecraft/world/WorldSettings$GameType/$VALUES
ahk/f,net/minecraft/world/WorldSettings$GameType/field_77151_f,net/minecraft/world/WorldSettings$GameType/name
ahk/e,net/minecraft/world/WorldSettings$GameType/field_77154_e,net/minecraft/world/WorldSettings$GameType/id
ahk/d,net/minecraft/world/WorldSettings$GameType/ADVENTURE,net/minecraft/world/WorldSettings$GameType/ADVENTURE
ahk/c,net/minecraft/world/WorldSettings$GameType/CREATIVE,net/minecraft/world/WorldSettings$GameType/CREATIVE
ade/ck,net/minecraft/init/Items/field_151087_ck,net/minecraft/init/Items/record_stal
ade/cj,net/minecraft/init/Items/field_151090_cj,net/minecraft/init/Items/record_mellohi
ade/cm,net/minecraft/init/Items/field_151085_cm,net/minecraft/init/Items/record_ward
ade/cl,net/minecraft/init/Items/field_151088_cl,net/minecraft/init/Items/record_strad
ade/cg,net/minecraft/init/Items/field_151091_cg,net/minecraft/init/Items/record_chirp
ade/cf,net/minecraft/init/Items/field_151094_cf,net/minecraft/init/Items/record_blocks
ade/ci,net/minecraft/init/Items/field_151089_ci,net/minecraft/init/Items/record_mall
ade/ch,net/minecraft/init/Items/field_151092_ch,net/minecraft/init/Items/record_far
ade/co,net/minecraft/init/Items/field_151084_co,net/minecraft/init/Items/record_wait
ade/cn,net/minecraft/init/Items/field_151086_cn,net/minecraft/init/Items/record_11
ade/bz,net/minecraft/init/Items/field_151059_bz,net/minecraft/init/Items/fire_charge
ade/by,net/minecraft/init/Items/field_151062_by,net/minecraft/init/Items/experience_bottle
ade/bv,net/minecraft/init/Items/field_151061_bv,net/minecraft/init/Items/ender_eye
ade/bu,net/minecraft/init/Items/field_151066_bu,net/minecraft/init/Items/cauldron
ade/bx,net/minecraft/init/Items/field_151063_bx,net/minecraft/init/Items/spawn_egg
ade/bw,net/minecraft/init/Items/field_151060_bw,net/minecraft/init/Items/speckled_melon
ade/cc,net/minecraft/init/Items/field_151095_cc,net/minecraft/init/Items/command_block_minecart
ade/cb,net/minecraft/init/Items/field_151057_cb,net/minecraft/init/Items/name_tag
ade/ce,net/minecraft/init/Items/field_151093_ce,net/minecraft/init/Items/record_cat
ade/cd,net/minecraft/init/Items/field_151096_cd,net/minecraft/init/Items/record_13
ade/ca,net/minecraft/init/Items/field_151058_ca,net/minecraft/init/Items/lead
ade/bj,net/minecraft/init/Items/field_151072_bj,net/minecraft/init/Items/blaze_rod
ade/bi,net/minecraft/init/Items/field_151079_bi,net/minecraft/init/Items/ender_pearl
agy/a,net/minecraft/world/GameRules/field_82771_a,net/minecraft/world/GameRules/theGameRules
ade/bl,net/minecraft/init/Items/field_151074_bl,net/minecraft/init/Items/gold_nugget
ade/bk,net/minecraft/init/Items/field_151073_bk,net/minecraft/init/Items/ghast_tear
bjk/a,net/minecraft/client/entity/EntityClientPlayerMP/field_71174_a,net/minecraft/client/entity/EntityClientPlayerMP/sendQueue
ade/bf,net/minecraft/init/Items/field_151076_bf,net/minecraft/init/Items/chicken
ade/be,net/minecraft/init/Items/field_151083_be,net/minecraft/init/Items/cooked_beef
ade/bh,net/minecraft/init/Items/field_151078_bh,net/minecraft/init/Items/rotten_flesh
ade/bg,net/minecraft/init/Items/field_151077_bg,net/minecraft/init/Items/cooked_chicken
ade/br,net/minecraft/init/Items/field_151065_br,net/minecraft/init/Items/blaze_powder
ade/bq,net/minecraft/init/Items/field_151071_bq,net/minecraft/init/Items/fermented_spider_eye
ade/bt,net/minecraft/init/Items/field_151067_bt,net/minecraft/init/Items/brewing_stand
ade/bs,net/minecraft/init/Items/field_151064_bs,net/minecraft/init/Items/magma_cream
ade/bn,net/minecraft/init/Items/field_151068_bn,net/minecraft/init/Items/potionitem
ade/bm,net/minecraft/init/Items/field_151075_bm,net/minecraft/init/Items/nether_wart
ade/bp,net/minecraft/init/Items/field_151070_bp,net/minecraft/init/Items/spider_eye
hu/a,net/minecraft/network/play/server/S09PacketHeldItemChange/field_149387_a,net/minecraft/network/play/server/S09PacketHeldItemChange/field_149387_a
ade/bo,net/minecraft/init/Items/field_151069_bo,net/minecraft/init/Items/glass_bottle
ade/bZ,net/minecraft/init/Items/field_151125_bZ,net/minecraft/init/Items/diamond_horse_armor
ade/ay,net/minecraft/init/Items/field_151126_ay,net/minecraft/init/Items/snowball
ade/bY,net/minecraft/init/Items/field_151136_bY,net/minecraft/init/Items/golden_horse_armor
ade/ax,net/minecraft/init/Items/field_151137_ax,net/minecraft/init/Items/redstone
ade/az,net/minecraft/init/Items/field_151124_az,net/minecraft/init/Items/boat
ade/bV,net/minecraft/init/Items/field_151142_bV,net/minecraft/init/Items/tnt_minecart
ade/au,net/minecraft/init/Items/field_151143_au,net/minecraft/init/Items/minecart
ade/bU,net/minecraft/init/Items/field_151128_bU,net/minecraft/init/Items/quartz
ade/at,net/minecraft/init/Items/field_151129_at,net/minecraft/init/Items/lava_bucket
ade/bX,net/minecraft/init/Items/field_151138_bX,net/minecraft/init/Items/iron_horse_armor
ade/aw,net/minecraft/init/Items/field_151139_aw,net/minecraft/init/Items/iron_door
ade/bW,net/minecraft/init/Items/field_151140_bW,net/minecraft/init/Items/hopper_minecart
ade/av,net/minecraft/init/Items/field_151141_av,net/minecraft/init/Items/saddle
ade/bb,net/minecraft/init/Items/field_151080_bb,net/minecraft/init/Items/pumpkin_seeds
ade/ba,net/minecraft/init/Items/field_151127_ba,net/minecraft/init/Items/melon
ade/bd,net/minecraft/init/Items/field_151082_bd,net/minecraft/init/Items/beef
ade/bc,net/minecraft/init/Items/field_151081_bc,net/minecraft/init/Items/melon_seeds
bms/b,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147536_b,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147536_b
bms/c,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147537_c,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147537_c
bms/d,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147534_d,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147534_d
bms/e,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147535_e,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147535_e
bms/f,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147532_f,net/minecraft/client/renderer/tileentity/TileEntitySkullRenderer/field_147532_f
gr/a,net/minecraft/network/play/server/S3FPacketCustomPayload/field_149172_a,net/minecraft/network/play/server/S3FPacketCustomPayload/field_149172_a
gr/b,net/minecraft/network/play/server/S3FPacketCustomPayload/field_149171_b,net/minecraft/network/play/server/S3FPacketCustomPayload/field_149171_b
bbs/c,net/minecraft/util/Session/field_148258_c,net/minecraft/util/Session/token
bbs/b,net/minecraft/util/Session/field_148257_b,net/minecraft/util/Session/playerID
bbs/a,net/minecraft/util/Session/field_74286_b,net/minecraft/util/Session/username
sd/a,net/minecraft/entity/Entity$SwitchEnumEntitySize/field_96565_a,net/minecraft/entity/Entity$SwitchEnumEntitySize/field_96565_a
bbs/d,net/minecraft/util/Session/field_152429_d,net/minecraft/util/Session/field_152429_d
hd/c,net/minecraft/network/play/server/S01PacketJoinGame/field_149205_c,net/minecraft/network/play/server/S01PacketJoinGame/field_149205_c
